load_size,trial,model,is_correct,confidence_score,expected,answer,had_error
1200,1,gpt-4o-mini,True,1.0,the moon,the moon,False
1200,1,gemini-2.0-flash,True,1.0,the moon,the moon,False
1200,2,gpt-4o-mini,True,1.0,a hexagon,a hexagon,False
1200,2,gemini-2.0-flash,True,1.0,a hexagon,a hexagon,False
1200,3,gpt-4o-mini,False,1.0,the moon,the Northern Lights,False
1200,3,gemini-2.0-flash,True,1.0,the moon,the moon,False
1200,4,gpt-4o-mini,True,1.0,Green,Green,False
1200,4,gemini-2.0-flash,True,1.0,Green,Green,False
1200,5,gpt-4o-mini,True,1.0,Blue,Blue,False
1200,5,gemini-2.0-flash,True,1.0,Blue,The jrcbetcy is discovered in: Blue,False
1200,6,gpt-4o-mini,True,1.0,frozen lightning,frozen lightning,False
1200,6,gemini-2.0-flash,True,1.0,frozen lightning,frozen lightning,False
1200,7,gpt-4o-mini,False,1.0,volcanic ash,Dr. Wigglesworth,False
1200,7,gemini-2.0-flash,True,1.0,volcanic ash,volcanic ash,False
1200,8,gpt-4o-mini,True,1.0,Green,Green,False
1200,8,gemini-2.0-flash,True,1.0,Green,Green,False
1200,9,gpt-4o-mini,True,1.0,frozen lightning,frozen lightning,False
1200,9,gemini-2.0-flash,True,1.0,frozen lightning,frozen lightning,False
1200,10,gpt-4o-mini,True,1.0,volcanic ash,volcanic ash,False
1200,10,gemini-2.0-flash,True,1.0,volcanic ash,volcanic ash,False
1300,1,gpt-4o-mini,True,1.0,Silver,Silver,False
1300,1,gemini-2.0-flash,True,1.0,Silver,Silver,False
1300,2,gpt-4o-mini,True,1.0,Green,Green,False
1300,2,gemini-2.0-flash,True,1.0,Green,Green,False
1300,3,gpt-4o-mini,True,1.0,volcanic ash,volcanic ash,False
1300,3,gemini-2.0-flash,True,1.0,volcanic ash,volcanic ash,False
1300,4,gpt-4o-mini,True,1.0,Orange,Orange,False
1300,4,gemini-2.0-flash,True,1.0,Orange,Orange,False
1300,5,gpt-4o-mini,True,1.0,the Northern Lights,the Northern Lights,False
1300,5,gemini-2.0-flash,True,1.0,the Northern Lights,the Northern Lights,False
1300,6,gpt-4o-mini,True,1.0,volcanic ash,volcanic ash,False
1300,6,gemini-2.0-flash,True,1.0,volcanic ash,volcanic ash,False
1300,7,gpt-4o-mini,False,1.0,ancient Egypt,the moon,False
1300,7,gemini-2.0-flash,True,1.0,ancient Egypt,ancient Egypt,False
1300,8,gpt-4o-mini,True,1.0,Green,Green,False
1300,8,gemini-2.0-flash,True,1.0,Green,Green,False
1300,9,gpt-4o-mini,True,1.0,frozen lightning,frozen lightning,False
1300,9,gemini-2.0-flash,True,1.0,frozen lightning,frozen lightning,False
1300,10,gpt-4o-mini,True,1.0,the moon,the moon,False
1300,10,gemini-2.0-flash,True,1.0,the moon,the moon,False
1400,1,gpt-4o-mini,True,1.0,a hexagon,a hexagon,False
1400,1,gemini-2.0-flash,True,1.0,a hexagon,a hexagon,False
1400,2,gpt-4o-mini,True,1.0,quantum foam,quantum foam,False
1400,2,gemini-2.0-flash,True,1.0,quantum foam,quantum foam,False
1400,3,gpt-4o-mini,True,1.0,compressed time,compressed time,False
1400,3,gemini-2.0-flash,True,1.0,compressed time,compressed time,False
1400,4,gpt-4o-mini,True,1.0,the moon,the moon,False
1400,4,gemini-2.0-flash,True,1.0,the moon,the moon,False
1400,5,gpt-4o-mini,True,1.0,crystallized starlight,crystallized starlight,False
1400,5,gemini-2.0-flash,True,1.0,crystallized starlight,crystallized starlight,False
1400,6,gpt-4o-mini,True,1.0,Gold,Gold,False
1400,6,gemini-2.0-flash,True,1.0,Gold,Gold,False
1400,7,gpt-4o-mini,True,1.0,Gold,Gold,False
1400,7,gemini-2.0-flash,True,1.0,Gold,Gold,False
1400,8,gpt-4o-mini,True,1.0,Purple,Purple,False
1400,8,gemini-2.0-flash,True,1.0,Purple,Purple,False
1400,9,gpt-4o-mini,True,1.0,compressed time,compressed time,False
1400,9,gemini-2.0-flash,True,1.0,compressed time,compressed time,False
1400,10,gpt-4o-mini,True,1.0,the Northern Lights,the Northern Lights,False
1400,10,gemini-2.0-flash,True,1.0,the Northern Lights,the Northern Lights,False
